dataset,sagd_variant,battnn_MAE_mean,battnn_MAE_std,sagd_MAE_mean,sagd_MAE_std,MAE_reduction_percent,battnn_MAPE_mean,battnn_MAPE_std,sagd_MAPE_mean,sagd_MAPE_std,MAPE_reduction_percent,battnn_RMSE_mean,battnn_RMSE_std,sagd_RMSE_mean,sagd_RMSE_std,RMSE_reduction_percent,sagd_rows
XJTU Batch-5,current-only,0.10497409687153074,0.0023175385746051383,0.035880783330311125,0.0028129586124994214,65.81939316494173,0.03056824092717015,0.0006348664867735522,0.010781167270556082,0.000815105837564513,64.73082210964455,0.1323147414330419,0.0024735773085246947,0.05473429215944649,0.0037354025724638065,58.6332621999304,40
XJTU Batch-5,cycle context,0.10497409687153074,0.0023175385746051383,0.026911040968059723,0.002916113662656389,74.36411289063628,0.03056824092717015,0.0006348664867735522,0.008107843477688722,0.0008508236859924643,73.47625106395253,0.1323147414330419,0.0024735773085246947,0.04480769185607845,0.0031686961337893185,66.13552551228507,40
XJTU Batch-5,cycle + early-voltage context,0.10497409687153074,0.0023175385746051383,0.028963597637554496,0.0050177336707928925,72.40881464976955,0.03056824092717015,0.0006348664867735522,0.00870419641887126,0.001470150870095574,71.52536045626799,0.1323147414330419,0.0024735773085246947,0.046966991569880184,0.005069942570422375,64.50358360587667,40
XJTU Batch-1,current-only,0.1619702719050861,0.012102825668893074,0.19591589261215298,0.10859873801968743,-20.95793277852795,0.0493136470134393,0.003829621120617877,0.05653193147986239,0.029572176708545367,-14.637498752537843,0.22754469815243747,0.014281579311242059,0.2647592904957647,0.10929181281121049,-16.3548492430249,40
XJTU Batch-1,cycle context,0.1619702719050861,0.012102825668893074,0.10685143839157418,0.056163310214757935,34.0302160792885,0.0493136470134393,0.003829621120617877,0.03213932672990667,0.01525875041322384,34.82670888010404,0.22754469815243747,0.014281579311242059,0.1907596995560162,0.0564584423810362,16.166053920438145,40
XJTU Batch-1,cycle + early-voltage context,0.1619702719050861,0.012102825668893074,0.12766236539306733,0.059292754207791426,21.181607037199427,0.0493136470134393,0.003829621120617877,0.03788806146951209,0.016079596660249364,23.169216303984637,0.22754469815243747,0.014281579311242059,0.21276397418882365,0.05867970143870694,6.495745268348056,40
XJTU Batch-1,"cycle + early-voltage context, l2=1e-2",0.1619702719050861,0.012102825668893074,0.13095245869144495,0.05103013728137726,19.15031249179939,0.0493136470134393,0.003829621120617877,0.0389431849972536,0.013823245853554215,21.02959858831668,0.22754469815243747,0.014281579311242059,0.21800892818980344,0.050804948437079736,4.190723862195108,40
