MAE,MAPE,MSE,RMSE,batch_size,dataset,epochs,experiment,lr,method,n_sequences,seed,seq_len,timestamp,torch_seed,torch_version,weight_decay
0.020196273425474157,0.006078457726709679,0.0007870417088623434,0.025073617500457553,30,SimData,1000,1,0.02,BattNN,100.0,2022,60,2026-05-24T19:43:48,2023,2.12.0+cpu,0.0005
0.02267406220827803,0.0068183969020432075,0.0009740777096669743,0.027956212125871356,30,SimData,1000,2,0.02,BattNN,100.0,2022,60,2026-05-24T19:43:48,2024,2.12.0+cpu,0.0005
0.020205514618508152,0.006081424472260597,0.0007871726149459382,0.025084362263824676,30,SimData,1000,3,0.02,BattNN,100.0,2022,60,2026-05-24T19:43:48,2025,2.12.0+cpu,0.0005
0.02031239382086398,0.006115254488033183,0.0007897828140497001,0.025201730307249343,30,SimData,1000,4,0.02,BattNN,100.0,2022,60,2026-05-24T19:43:48,2026,2.12.0+cpu,0.0005
0.020175137484435633,0.006071612256897524,0.0007868984534961659,0.025049091784860752,30,SimData,1000,5,0.02,BattNN,100.0,2022,60,2026-05-24T19:43:48,2027,2.12.0+cpu,0.0005
