MAE,MAXAE,RMSE,boundary_MAXAE,boundary_loss,boundary_weight,enhance_activation,epochs,l2,learning_rate,loss,map_activation,method,n_enhance,n_eval,n_interior,n_map,problem,regularization,residual_RMSE,residual_loss,runtime_sec,seed,timestamp,trainable_parameters
0.0018195849177300477,0.003200416217690364,0.0020293604587758,0.003200416217690353,9.746022533164483e-06,100.0,tanh,40000,1e-06,0.001,0.001194852387095602,tanh,SAGD-BLS-PDE,120,1000.0,128,120,1D Poisson,2.1445209340334217e-07,0.015664864426035374,0.00022003568168575032,1.09487369999988,1,2026-05-25T00:55:49,242
0.0011107157768215391,0.0022979879896150093,0.0012525032401815544,0.0022979879896147873,2.7282338468056937e-06,100.0,tanh,0,0.0,,0.0009610810133991364,tanh,PIBLS-pinv,120,1000.0,128,120,1D Poisson,0.0,0.026141806326183636,0.0006882576287185671,0.03678530000615865,1,2026-05-25T00:55:49,242
3.7258014642280804e-05,7.309670045038685e-05,4.149643844653566e-05,6.000196308452886e-05,3.5825312963838782e-09,100.0,tanh,40000,1e-06,0.001,0.00012053490600975287,tanh,SAGD-BLS-PDE,120,1000.0,128,120,1D Poisson,2.1866752933231156e-07,0.012550860583792999,0.00011995798535078217,1.0794981000071857,2,2026-05-25T00:55:50,242
0.0001692317563540332,0.0003323776773136444,0.00019948235670003392,0.00021486173502954786,2.659271105877442e-08,100.0,tanh,0,0.0,,0.00015775796729741877,tanh,PIBLS-pinv,120,1000.0,128,120,1D Poisson,0.0,0.01239936771148828,0.00015509869619154134,0.03722779999952763,2,2026-05-25T00:55:50,242
0.008395238157062737,0.01471354775962333,0.009333805765154725,0.014713547759622886,0.00020002914131187041,100.0,tanh,40000,1e-06,0.001,0.025614491466836378,tanh,SAGD-BLS-PDE,120,1000.0,128,120,1D Poisson,2.1829310415201072e-07,0.07488628503267583,0.005611359042545185,1.0841498000081629,3,2026-05-25T00:55:51,242
0.00011182438788578217,0.00019554857206682819,0.00012309414634808567,0.00011192015361288776,6.2659665201159825e-09,100.0,tanh,0,0.0,,4.215347834955212e-05,tanh,PIBLS-pinv,120,1000.0,128,120,1D Poisson,0.0,0.006416645158513316,4.152688169754052e-05,0.03617419999500271,3,2026-05-25T00:55:51,242
3.174380504500776e-05,6.279352816385142e-05,3.6143666009356995e-05,5.969486373953725e-05,3.1882318586862166e-09,100.0,tanh,40000,1e-06,0.001,0.00015724650562648203,tanh,SAGD-BLS-PDE,120,1000.0,128,120,1D Poisson,2.2139166755614496e-07,0.014196646501268987,0.00015670629077305727,1.070635999989463,4,2026-05-25T00:55:52,242
0.00041709383306843444,0.001088032611098036,0.0005503097124342486,0.0010880326110972588,5.921550898462341e-07,100.0,tanh,0,0.0,,0.0015698540597449014,tanh,PIBLS-pinv,120,1000.0,128,120,1D Poisson,0.0,0.038726232106219075,0.001510638550760278,0.03748119999363553,4,2026-05-25T00:55:52,242
0.0006520565549214344,0.0011419959820481989,0.0007227671374681417,0.001141995982048421,1.1833303174688178e-06,100.0,tanh,40000,1e-06,0.001,0.00026240848866220597,tanh,SAGD-BLS-PDE,120,1000.0,128,120,1D Poisson,2.1855796342949344e-07,0.013516546883945288,0.00014385689895189468,1.0782428000093205,5,2026-05-25T00:55:54,242
0.00015441510183530603,0.0004171697642856853,0.00018677711875077514,0.00041716976428546326,8.843631320693359e-08,100.0,tanh,0,0.0,,2.8530105181040946e-05,tanh,PIBLS-pinv,120,1000.0,128,120,1D Poisson,0.0,0.004432333477675977,1.968647386034759e-05,0.03635769999527838,5,2026-05-25T00:55:54,242
