dataset,method,n,MAE_mean,MAE_std,MAPE_mean,MAPE_std,RMSE_mean,RMSE_std
Lab,BattNN_reproduced_all,30,0.049419526776036095,0.052705703302233724,0.014202523571883698,0.015116216427083199,0.06103253516853721,0.057381994054721636
Lab,BattNN_reproduced_clean_MAE_lt_0.1,29,0.03966076707599367,0.004083966754622258,0.011404502217469673,0.0012294732166607356,0.050429735721037906,0.005801181280113932
Lab,SAGD-BLS_tanh_sigmoid,30,0.0234877143275362,0.004999408868999058,0.007063108685702773,0.0015116205917683058,0.045075460516545166,0.00811781105816059
Lab,SAGD_vs_BattNN_clean_reduction_percent,30,40.77846683466412,,38.067365405187594,,10.617297766760014,
NASA,BattNN_reproduced_all,20,0.03965592945299161,0.0024770385388559668,0.011186737502582754,0.0007004909641176088,0.050977953249311106,0.0031187464495162367
NASA,BattNN_reproduced_clean_MAE_lt_0.1,20,0.03965592945299161,0.0024770385388559668,0.011186737502582754,0.0007004909641176088,0.050977953249311106,0.0031187464495162367
NASA,SAGD-BLS_tanh_sigmoid,20,0.029399644952225558,0.010949465311898773,0.00843165151829214,0.003104849012165302,0.04003568142974522,0.014775059416655818
NASA,SAGD_vs_BattNN_clean_reduction_percent,20,25.86318021602272,,24.628145459339933,,21.464713904954106,
