config,backend,device,torch_dtype,epochs,n_map,n_enhance,l2,MAE,RMSE,residual_RMSE,runtime_sec,trainable_parameters
pinn_baseline,pytorch,cpu,float64,5000,,,0.0,0.11749168788935371,0.21974613084321565,0.54771910675964,78.96034169998893,12737
numpy_hc_sagd_bls_w240,numpy,cpu,float64,5000,240,240,1e-6,0.08817377783382485,0.18200989682864202,0.6035865907075937,102.1994229999982,483
torch_cuda_hc_sagd_bls_w240,torch,cuda,float32,5000,240,240,1e-6,0.08822340387262055,0.1818500743865339,0.6033430099487305,9.510467299987795,483
numpy_hc_sagd_bls_w240,numpy,cpu,float64,15000,240,240,1e-6,0.08669216275739566,0.17883737894109464,0.6322830285626343,306.10567679999804,483
torch_cuda_hc_sagd_bls_w240,torch,cuda,float32,15000,240,240,1e-6,0.08669523061766338,0.17892260779140953,0.6320070624351501,32.482032300002174,483
numpy_hc_sagd_bls_w240_l2e2,numpy,cpu,float64,15000,240,240,1e-2,0.08894162596247802,0.18379382120086526,0.5833702256847143,305.35207740000624,483
torch_cuda_hc_sagd_bls_w240_l2e2,torch,cuda,float32,15000,240,240,1e-2,0.08892134549787689,0.18376047851551858,0.5828700661659241,32.70396489999257,483
