MAE,MAPE,MSE,RMSE,batch_size,dataset,epochs,experiment,lr,method,n_sequences,seed,seq_len,split_id,timestamp,torch_seed,torch_version,weight_decay
0.03408847838324166,0.009668245801280456,0.001810833791857282,0.04106514487328582,30,Lab,2000,3,0.02,BattNN,5.0,2022,60,6,2026-05-24T19:58:29,3085,2.12.0+cpu,0.0005
0.03652188026608666,0.010557359473709128,0.0023575658127176465,0.0475404620681666,30,Lab,2000,4,0.02,BattNN,5.0,2022,60,6,2026-05-24T19:58:29,3086,2.12.0+cpu,0.0005
0.03267649592975942,0.009343744719145959,0.0017349668380713026,0.040443862467303075,30,Lab,2000,5,0.02,BattNN,5.0,2022,60,6,2026-05-24T19:58:29,3087,2.12.0+cpu,0.0005
0.03554864571788668,0.010032987721146887,0.002279788113809329,0.046465419897903086,30,NASA,2000,1,0.02,BattNN,70.0,2022,60,Dis_RW3.mat,2026-05-24T19:58:29,4023,2.12.0+cpu,0.0005
0.03506591427631378,0.009895160107817574,0.002232436877543454,0.046081943911743396,30,NASA,2000,2,0.02,BattNN,70.0,2022,60,Dis_RW3.mat,2026-05-24T19:58:29,4024,2.12.0+cpu,0.0005
0.0356724872839798,0.010066506077616971,0.0022895174291796207,0.04661089051391025,30,NASA,2000,3,0.02,BattNN,70.0,2022,60,Dis_RW3.mat,2026-05-24T19:58:29,4025,2.12.0+cpu,0.0005
0.03706208497118559,0.010486917039588515,0.0024409092996053247,0.04796062790914708,30,NASA,2000,4,0.02,BattNN,70.0,2022,60,Dis_RW3.mat,2026-05-24T19:58:29,4026,2.12.0+cpu,0.0005
0.03502905737392635,0.009834451082818845,0.002158844737972294,0.045250926930831784,30,NASA,2000,5,0.02,BattNN,70.0,2022,60,Dis_RW3.mat,2026-05-24T19:58:29,4027,2.12.0+cpu,0.0005
0.04039169430684064,0.01139236791124109,0.0027176788745344417,0.0507393526897301,30,NASA,2000,1,0.02,BattNN,70.0,2022,60,Dis_RW4.mat,2026-05-24T19:58:29,4023,2.12.0+cpu,0.0005
0.03970655677044408,0.011197346594010496,0.002618965957662028,0.04981191939435341,30,NASA,2000,2,0.02,BattNN,70.0,2022,60,Dis_RW4.mat,2026-05-24T19:58:29,4024,2.12.0+cpu,0.0005
