dataset,battnn_label,sagd_label,battnn_n,sagd_n,battnn_MAE_mean,battnn_MAE_std,sagd_MAE_mean,sagd_MAE_std,MAE_reduction_percent,battnn_MAPE_mean,battnn_MAPE_std,sagd_MAPE_mean,sagd_MAPE_std,MAPE_reduction_percent,battnn_RMSE_mean,battnn_RMSE_std,sagd_RMSE_mean,sagd_RMSE_std,RMSE_reduction_percent
SimData,BattNN reproduced,SAGD-BLS tanh/sigmoid,5,5,0.02071267631151199,0.000981844552108473,0.005621380553171134,0.0016052983937973099,72.8601921421096,0.0062330291691888385,0.00029307268474657754,0.0017590225321292463,0.000525554412306537,71.7790101027529,0.025673002796452737,0.0011428182673651835,0.009498774534402355,0.0025753999377031264,63.00092120227241
LabData (local B1-B6),BattNN reproduced clean,SAGD-BLS tanh/sigmoid,29,30,0.03966076707599367,0.004083966754622258,0.0234877143275362,0.004999408868999058,40.77846683466414,0.011404502217469673,0.0012294732166607356,0.007063108685702773,0.0015116205917683058,38.06736540518757,0.050429735721037906,0.005801181280113932,0.045075460516545166,0.00811781105816059,10.617297766760027
NASAData,BattNN reproduced,SAGD-BLS tanh/sigmoid,20,20,0.03965592945299161,0.0024770385388559668,0.029399644952225558,0.010949465311898773,25.86318021602272,0.011186737502582754,0.0007004909641176088,0.00843165151829214,0.003104849012165302,24.628145459339947,0.050977953249311106,0.0031187464495162367,0.04003568142974522,0.014775059416655818,21.464713904954106
XJTU Batch-5,BattNN tuned adapter,SAGD-BLS + cycle context,40,40,0.10497409687153074,0.0023175385746051383,0.026911040968059723,0.002916113662656389,74.36411289063628,0.03056824092717015,0.0006348664867735522,0.008107843477688722,0.0008508236859924643,73.47625106395253,0.1323147414330419,0.0024735773085246947,0.04480769185607845,0.0031686961337893185,66.13552551228507
XJTU Batch-1,BattNN tuned adapter,SAGD-BLS + cycle context,40,40,0.1619702719050861,0.012102825668893074,0.10685143839157418,0.056163310214757935,34.0302160792885,0.0493136470134393,0.003829621120617877,0.03213932672990667,0.01525875041322384,34.82670888010404,0.22754469815243747,0.014281579311242059,0.1907596995560162,0.0564584423810362,16.166053920438145
