MAE,MAPE,MSE,RMSE,best_train_loss,config_Cs,config_Csp,config_Rp,config_Rs,config_V0,config_VEOD,config_epochs,config_lr,config_profile,config_weight_decay,config_x0_qb,data_seed,dataset,experiment,final_train_loss,held_out_battery,initial_train_loss,method,min_test_length,n_sequences,n_train,resample_minutes,selected_candidate_id,selected_validation_MAE_mean,selected_validation_MAE_std,stage,test_cycles,timestamp,torch_seed,train_epochs_run,train_length
0.10730510249663676,0.031171357227687293,0.020825394179993986,0.13436264899502942,0.2349635362625122,800.0,40.0,6000.0,1.0,4.2,3.0,2000,0.02,lab,0.0005,8000.0,2022,XJTU-Batch-5,4,0.23496359586715698,RW_battery-3,7.9799299240112305,BattNN tuned,20,340.0,30,0.5,1,0.13329475051647433,0.0,final,340,2026-05-24T23:34:14,2026,315,60
0.10728388904231517,0.03116554999623939,0.020820975976519846,0.13434187816899656,0.2349635660648346,800.0,40.0,6000.0,1.0,4.2,3.0,2000,0.02,lab,0.0005,8000.0,2022,XJTU-Batch-5,5,0.23496386408805847,RW_battery-3,7.9799299240112305,BattNN tuned,20,340.0,30,0.5,1,0.13329475051647433,0.0,final,340,2026-05-24T23:34:14,2027,190,60
0.1050178319605736,0.030615927406670244,0.020782186778992216,0.13257009294033612,0.2305544912815094,800.0,40.0,6000.0,1.0,4.2,3.0,2000,0.02,lab,0.0005,8000.0,2022,XJTU-Batch-5,1,0.23055501282215118,RW_battery-4,8.739662170410156,BattNN tuned,20,252.0,30,0.5,1,0.13329475051647433,0.0,final,252,2026-05-24T23:34:14,2023,224,60
0.10500348548441117,0.030612248573380452,0.020781751253193377,0.13255997470484304,0.2305544912815094,800.0,40.0,6000.0,1.0,4.2,3.0,2000,0.02,lab,0.0005,8000.0,2022,XJTU-Batch-5,2,0.23055541515350342,RW_battery-4,40.02594757080078,BattNN tuned,20,252.0,30,0.5,1,0.13329475051647433,0.0,final,252,2026-05-24T23:34:14,2024,228,60
0.10499923126577933,0.03061115784106126,0.020781625770645146,0.13255698304676705,0.2305544912815094,800.0,40.0,6000.0,1.0,4.2,3.0,2000,0.02,lab,0.0005,8000.0,2022,XJTU-Batch-5,3,0.2305547446012497,RW_battery-4,7.407596588134766,BattNN tuned,20,252.0,30,0.5,1,0.13329475051647433,0.0,final,252,2026-05-24T23:34:14,2025,231,60
0.10501172906739341,0.030614362110403314,0.020781998965917384,0.13256578654489695,0.23055444657802582,800.0,40.0,6000.0,1.0,4.2,3.0,2000,0.02,lab,0.0005,8000.0,2022,XJTU-Batch-5,4,0.2305545210838318,RW_battery-4,8.739662170410156,BattNN tuned,20,252.0,30,0.5,1,0.13329475051647433,0.0,final,252,2026-05-24T23:34:14,2026,278,60
0.10497068127825152,0.030603848333563773,0.02078083089617256,0.13253693340069062,0.2305544763803482,800.0,40.0,6000.0,1.0,4.2,3.0,2000,0.02,lab,0.0005,8000.0,2022,XJTU-Batch-5,5,0.23055468499660492,RW_battery-4,8.739662170410156,BattNN tuned,20,252.0,30,0.5,1,0.13329475051647433,0.0,final,252,2026-05-24T23:34:14,2027,167,60
0.10542971316281598,0.030722205024025364,0.020832635657010146,0.1332202032787031,0.22639140486717224,800.0,40.0,6000.0,1.0,4.2,3.0,2000,0.02,lab,0.0005,8000.0,2022,XJTU-Batch-5,1,0.2263919860124588,RW_battery-5,8.828338623046875,BattNN tuned,20,274.0,30,0.5,1,0.13329475051647433,0.0,final,274,2026-05-24T23:34:14,2023,224,60
0.10453244768714888,0.03049721775809365,0.02079828535822783,0.1325867642696337,0.22639141976833344,800.0,40.0,6000.0,1.0,4.2,3.0,2000,0.02,lab,0.0005,8000.0,2022,XJTU-Batch-5,2,0.2264595776796341,RW_battery-5,40.11757278442383,BattNN tuned,20,274.0,30,0.5,1,0.13329475051647433,0.0,final,274,2026-05-24T23:34:14,2024,142,60
0.1054378259805182,0.030724290878307192,0.02083332679242821,0.1332266032800862,0.22639143466949463,800.0,40.0,6000.0,1.0,4.2,3.0,2000,0.02,lab,0.0005,8000.0,2022,XJTU-Batch-5,3,0.2263919562101364,RW_battery-5,7.4836273193359375,BattNN tuned,20,274.0,30,0.5,1,0.13329475051647433,0.0,final,274,2026-05-24T23:34:14,2025,208,60
