config,backend,device,torch_dtype,n_map,n_enhance,map_activation,enhance_activation,map_scale,enhance_scale,MAE_mean,MAE_std,MAPE_mean,MAPE_std,RMSE_mean,RMSE_std,runtime_sec_mean,runtime_sec_std
BattNN_recorded,recorded,,,,,,,,,0.02024296334206096,0.00006377170360298937,0.006093000989282517,0.000020683390283817256,0.02512529187742845,0.0000700625333616971,,
old_SAGD_BLS_numpy,numpy,cpu,float64,100,100,tanh,sigmoid,1.0,1.0,0.005621380553171134,0.0016052983937973097,0.0017590225321292463,0.000525554412306537,0.009498774534402355,0.0025753999377031264,,
PDE_featuredict_direct_transfer,torch,cuda,float32,240,240,sin,tanh,4.0,1.0,0.018231476867511413,0.004661592236247417,0.005703137169686318,0.0014335709301616939,0.02882181886574229,0.006134463303664561,11.81765062000195,0.5330467968310063
tanh_sigmoid_torch_scale1,torch,cuda,float64,100,100,tanh,sigmoid,1.0,1.0,0.006515043587756483,0.0019771048742424726,0.002019996462217765,0.000615197551643757,0.010252174041146003,0.0026700162467218815,12.758177500002784,0.9118186373331804
tanh_sigmoid_torch_scale2,torch,cuda,float64,100,100,tanh,sigmoid,2.0,1.0,0.0072860877121750395,0.0037457676487132096,0.0022220894618452136,0.0011039290194647248,0.010668075967584888,0.0034648788217444817,13.15879627999966,0.3967822631406004
tanh_sigmoid_torch_scale4,torch,cuda,float64,100,100,tanh,sigmoid,4.0,1.0,0.005169892860734364,0.0006516348330960805,0.001583272855260524,0.00019802916961593128,0.008290102434564493,0.0006618548382484698,13.887351020000642,0.939877237158626
tanh_sigmoid_torch_240_scale4,torch,cuda,float64,240,240,tanh,sigmoid,4.0,1.0,0.029553377584652846,0.04431530885719873,0.008910286939944435,0.013253857898097882,0.03475194420092062,0.04652518139533176,13.001093119996948,0.7868470402750927
