MAE,MAPE,MSE,RMSE,baseline_MAE_mean,baseline_MAE_std,baseline_MAPE_mean,baseline_MAPE_std,baseline_MSE_mean,baseline_MSE_std,baseline_RMSE_mean,baseline_RMSE_std,baseline_runs,dataset,enhance_activation,epochs,final_loss,initial_loss,l2,learning_rate,map_activation,method,n_enhance,n_map,n_sequences,n_train,seed,smooth_l1_delta,split_id,timestamp,train_length
0.03232476023415887,0.009652820190946078,0.004046641472826492,0.05761402873280717,0.0423872517977472,1.9917565158420482e-05,0.012222027481205704,1.3301531905159954e-05,0.003220782714550447,1.8516130802393433e-05,0.055425753169473055,0.00016585471547313557,5.0,Lab,sigmoid,20000,0.0009299345050970264,0.4420973410367727,0.001,0.01,tanh,SAGD-BLS,100,100,20.0,30,1,1.0,1,2026-05-24T19:53:00,60
0.029708024528773885,0.0089279994222377,0.003172000874183683,0.05387235487883402,0.0423872517977472,1.9917565158420482e-05,0.012222027481205704,1.3301531905159954e-05,0.003220782714550447,1.8516130802393433e-05,0.055425753169473055,0.00016585471547313557,5.0,Lab,sigmoid,20000,0.00045030438547665,0.4420973410367727,0.001,0.01,tanh,SAGD-BLS,100,100,20.0,30,2,1.0,1,2026-05-24T19:53:00,60
0.02336007641607679,0.0070077686802533495,0.0022382515684177995,0.04558207596777621,0.0423872517977472,1.9917565158420482e-05,0.012222027481205704,1.3301531905159954e-05,0.003220782714550447,1.8516130802393433e-05,0.055425753169473055,0.00016585471547313557,5.0,Lab,sigmoid,20000,0.0023348460269596283,0.4420973410367727,0.001,0.01,tanh,SAGD-BLS,100,100,20.0,30,3,1.0,1,2026-05-24T19:53:00,60
0.032705353742444994,0.009885168148024953,0.004243427590050694,0.06094334924612489,0.0423872517977472,1.9917565158420482e-05,0.012222027481205704,1.3301531905159954e-05,0.003220782714550447,1.8516130802393433e-05,0.055425753169473055,0.00016585471547313557,5.0,Lab,sigmoid,20000,0.0004533859826270287,0.4420973410367727,0.001,0.01,tanh,SAGD-BLS,100,100,20.0,30,4,1.0,1,2026-05-24T19:53:00,60
0.024292521455957818,0.007334312840747472,0.0024968431901540673,0.04850931887908064,0.0423872517977472,1.9917565158420482e-05,0.012222027481205704,1.3301531905159954e-05,0.003220782714550447,1.8516130802393433e-05,0.055425753169473055,0.00016585471547313557,5.0,Lab,sigmoid,20000,0.0004576670284879376,0.4420973410367727,0.001,0.01,tanh,SAGD-BLS,100,100,20.0,30,5,1.0,1,2026-05-24T19:53:00,60
0.02244397489662764,0.0067401035340261635,0.0020388484034780966,0.042274646110647275,0.04237753763740075,0.0010656019311983862,0.012266766342003164,0.00033271043203294594,0.0032413862931949047,0.00021274274686308017,0.05531598845457747,0.0017257695343919448,5.0,Lab,sigmoid,20000,0.0007862568275806112,0.46440685032085005,0.001,0.01,tanh,SAGD-BLS,100,100,20.0,30,1,1.0,2,2026-05-24T19:53:00,60
0.01977664343323082,0.0059304787040957655,0.0017051844940384011,0.03881677162858018,0.04237753763740075,0.0010656019311983862,0.012266766342003164,0.00033271043203294594,0.0032413862931949047,0.00021274274686308017,0.05531598845457747,0.0017257695343919448,5.0,Lab,sigmoid,20000,0.0007713327797083932,0.46440685032085005,0.001,0.01,tanh,SAGD-BLS,100,100,20.0,30,2,1.0,2,2026-05-24T19:53:00,60
0.02133405735546786,0.006435091181453449,0.0020911236258999073,0.04342342513707497,0.04237753763740075,0.0010656019311983862,0.012266766342003164,0.00033271043203294594,0.0032413862931949047,0.00021274274686308017,0.05531598845457747,0.0017257695343919448,5.0,Lab,sigmoid,20000,0.0007865158897402118,0.46440685032085005,0.001,0.01,tanh,SAGD-BLS,100,100,20.0,30,3,1.0,2,2026-05-24T19:53:00,60
0.026435173632174867,0.007990939809144814,0.0029273003201943735,0.050856714168799666,0.04237753763740075,0.0010656019311983862,0.012266766342003164,0.00033271043203294594,0.0032413862931949047,0.00021274274686308017,0.05531598845457747,0.0017257695343919448,5.0,Lab,sigmoid,20000,0.0007754585091700891,0.46440685032085005,0.001,0.01,tanh,SAGD-BLS,100,100,20.0,30,4,1.0,2,2026-05-24T19:53:00,60
0.02330725716242748,0.007024711823655801,0.0022348934564876822,0.04524032041075122,0.04237753763740075,0.0010656019311983862,0.012266766342003164,0.00033271043203294594,0.0032413862931949047,0.00021274274686308017,0.05531598845457747,0.0017257695343919448,5.0,Lab,sigmoid,20000,0.0012477631645559963,0.46440685032085005,0.001,0.01,tanh,SAGD-BLS,100,100,20.0,30,5,1.0,2,2026-05-24T19:53:00,60
