config,epochs,n_map,n_enhance,l2,MAE,RMSE,residual_RMSE,runtime_sec,trainable_parameters
w240_l2e-6,5000,240,240,1e-6,0.08817377783382485,0.18200989682864202,0.6035865907075937,102.1994229999982,483
w320_l2e-6,5000,320,320,1e-6,0.09279478879611235,0.20570594440503068,0.6463591323017254,137.8796410000068,643
w240_l2e-4,5000,240,240,1e-4,0.08822613686044314,0.18213567643988518,0.6031996605934266,102.971495100006,483
w240_l2e-3,5000,240,240,1e-3,0.08827229385645811,0.18237228495431723,0.5999244934445876,103.36390240000037,483
w240_l2e-2,5000,240,240,1e-2,0.08972433056411801,0.18543029965130786,0.582687744908541,103.33871330000693,483
w240_l2e-6,15000,240,240,1e-6,0.08669216275739566,0.17883737894109464,0.6322830285626343,306.10567679999804,483
w240_l2e-2,15000,240,240,1e-2,0.08894162596247802,0.18379382120086526,0.5833702256847143,305.35207740000624,483
