dataset,method,n,MAE_mean,MAE_std,MAPE_mean,MAPE_std,RMSE_mean,RMSE_std,selected_candidate_id,selected_validation_MAE_mean,config_profile,config_lr,config_weight_decay,config_epochs
XJTU-Batch-5,BattNN tuned adapter,40,0.10497409687153074,0.0023175385746051383,0.03056824092717015,0.0006348664867735522,0.1323147414330419,0.0024735773085246947,1,0.13329475051647433,lab,0.02,0.0005,2000
XJTU-Batch-1,BattNN tuned adapter,40,0.1619702719050861,0.012102825668893074,0.0493136470134393,0.003829621120617877,0.22754469815243747,0.014281579311242059,1,0.15759944891678923,lab,0.01,0.0005,2000
